"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"US EIA.gov for Segments and Prices, numbeo.com for international price data, IEA/OECD (ETP 2016) for international mobility weights based on pkms in selected regions/countries","http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2016, Email Communication from EIA (2015), numbeo.com, accessed Oct 26, 2015, http://www.iea.org/etp/ accessed Oct 15, 2016",World,Midsize ,2 - Public Sector/ Multilateral Agency,2015,,32016.4670211747,2013 US$,32656.796361598193,US2014$/Car,,,True
"US EIA.gov for Segments and Prices, numbeo.com for international price data, IEA/OECD (ETP 2016) for international mobility weights based on pkms in selected regions/countries","http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2016, Email Communication from EIA (2015), numbeo.com, accessed Oct 26, 2015, http://www.iea.org/etp/ accessed Oct 15, 2017",World,Compact (eg Chevrolet Plug in Hybrid),2 - Public Sector/ Multilateral Agency,2015,,26703.615546098627,2013 US$,27237.6878570206,US2014$/Car,,,True
"US EIA.gov for Segments and Prices, numbeo.com for international price data, IEA/OECD (ETP 2016) for international mobility weights based on pkms in selected regions/countries","http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2016, Email Communication from EIA (2015), numbeo.com, accessed Oct 26, 2015, http://www.iea.org/etp/ accessed Oct 15, 2018",World,Small Utility (eg Mitsubishi Outlander Plug in Hybrid),2 - Public Sector/ Multilateral Agency,2015,,33708.08788110375,2013 US$,34382.24963872582,US2014$/Car,,,True
"US EIA.gov for Segments and Prices, numbeo.com for international price data, IEA/OECD (ETP 2016) for international mobility weights based on pkms in selected regions/countries","http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2016, Email Communication from EIA (2015), numbeo.com, accessed Oct 26, 2015, http://www.iea.org/etp/ accessed Oct 15, 2019",World,Large/Luxury,2 - Public Sector/ Multilateral Agency,2015,,47028.25267215778,2013 US$,47968.81772560094,US2014$/Car,,,True
The ICCT (2019) European Vehicle Market statistics-  Pocketbook 2018/19,https://theicct.org/sites/default/files/publications/ICCT_Pocketbook_2018_Final_20181205.pdf,OECD90,EU,5 - Not Verified,2017,,35000,Euro2017,38201.77466426222,US2014$/Car,0.1820375817974425,,False
"Naughton (2019) Despite Prius sales slump, hybrids as popular as ever, https://www.japantimes.co.jp/news/2019/06/11/business/despite-priuss-sales-slump-hybrids-popular-ever/#.XeBrYuhKhPY",https://www.japantimes.co.jp/news/2019/06/11/business/despite-priuss-sales-slump-hybrids-popular-ever/#.XeBrYuhKhPY#.XeBrYuhKhPY,OECD90,USA,3 - For Profit,2019,,28255,2019 US$,26637.94987794048,US2014$/Car,0.19620579936363092,,False
"Basingan (2019) Toyota seeking backing to spark hybrid demand in the Philippines, NNA Business News, https://english.nna.jp/articles/874",https://english.nna.jp/articles/874,OECD90,Japan,5 - Not Verified,2019,,2500000,Yen (2019),21569.682699890476,US2014$/Car,0.020367813331732404,,False
"Carview (2019) Which is more advantageous, hybrid vehicle or gasoline vehicle? It tried comparing with fuel consumption & price (in Japanese)",https://carview.yahoo.co.jp/news/market/20190602-10415649-carview/,OECD90,Japan,3 - For Profit,2019,,2536920,Yen (2019),21888.22377400246,US2014$/Car,0.020367813331732404,,False
Carnext (2019) How many miles did the break-even point of hybrid and gasoline vehicles run? (in Japanese),https://carnext.jp/magazine/article/hybrid_break-even_point/,OECD90,Japan,3 - For Profit,2019,,2434230,Yen (2019),21002.22748742176,US2014$/Car,0.020367813331732404,,False
"EIA, 2021. EIA - Annual Energy Outlook 2021",https://www.eia.gov/outlooks/aeo/tables_ref.php,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,45715,2020 US$,42972.1,US2014$/Car,0.36,Average value of various segment gasoline-hybrid vehicles,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,23200,2020 US$,21808.0,US2014$/Car,0.04,Hyundai Ioniq Hybrid,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,24525,2020 US$,23053.5,US2014$/Car,0.12,Toyota Prius,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,22930,2020 US$,21554.199999999997,US2014$/Car,0.06,Honda Insight,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,23400,2020 US$,21996.0,US2014$/Car,0.23,Toyota coralla  Hybrid,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,28430,2020 US$,26724.199999999997,US2014$/Car,0.06,Toyota Camry Hybrid,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,27750,2020 US$,26085.0,US2014$/Car,0.01,Hyundai Sonata HybridÂ ,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,24590,2020 US$,23114.6,US2014$/Car,0.05,Kia Niro FE,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,25870,2020 US$,24317.8,US2014$/Car,0.06,Honda Accord Hybrid,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,28265,2020 US$,26569.1,US2014$/Car,0.01,Ford Escape SE Sport Hybrid,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,CALCULATED ,2020 US$,14735.863,US2014$/Car,,Weighted estimation based on the data in US,True
